epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1216.41,0.52246,0.84778,0.46394,0.93548,0.82278,0.85398,0.86236,0.65178,0.79088,0.82395,0.83609,0.57888,0.62679,1.26816,0.43734,0.96651,0.0009035,0.0009035,0.0009035
86,1230.61,0.52328,0.86371,0.40589,0.94637,0.85955,0.85398,0.87579,0.65722,0.83796,0.83437,0.86286,0.59202,0.6397,1.21987,0.44321,0.97279,0.000899375,0.000899375,0.000899375
87,1244.8,0.51244,0.85924,0.40707,0.94448,0.78919,0.82885,0.84245,0.63752,0.79512,0.82407,0.85045,0.58128,0.62897,1.24998,0.45693,0.96512,0.00089525,0.00089525,0.00089525
88,1259,0.51771,0.85848,0.39879,0.94359,0.80866,0.8285,0.84785,0.64066,0.79763,0.82008,0.86209,0.60438,0.64348,1.29536,0.49276,0.98804,0.000891125,0.000891125,0.000891125
89,1273.35,0.52155,0.84638,0.40215,0.94406,0.81273,0.82218,0.84303,0.64434,0.7961,0.80552,0.85267,0.58009,0.65265,1.44945,0.47033,0.97828,0.000887,0.000887,0.000887
90,1287.6,0.5094,0.83982,0.39547,0.93424,0.82431,0.83003,0.8477,0.64708,0.80432,0.81739,0.84849,0.58261,0.64115,1.31018,0.45992,0.97906,0.000882875,0.000882875,0.000882875
91,1301.79,0.51211,0.82694,0.38865,0.94664,0.83978,0.8382,0.85396,0.65492,0.78978,0.82238,0.84842,0.5876,0.61338,1.32636,0.43237,0.9643,0.00087875,0.00087875,0.00087875
92,1316,0.50902,0.82715,0.38925,0.94489,0.81939,0.84926,0.86299,0.65821,0.80575,0.83651,0.86775,0.58193,0.62391,1.36311,0.45317,0.97059,0.000874625,0.000874625,0.000874625
93,1330.2,0.50795,0.85027,0.38442,0.93958,0.79726,0.85398,0.83745,0.63914,0.79519,0.8232,0.8401,0.57134,0.6414,1.49431,0.48778,0.97758,0.0008705,0.0008705,0.0008705
94,1344.41,0.51109,0.84961,0.40111,0.93785,0.85347,0.82846,0.85062,0.64246,0.82404,0.79768,0.82215,0.58001,0.65583,1.34419,0.48392,0.97559,0.000866375,0.000866375,0.000866375
95,1358.66,0.50853,0.83099,0.38962,0.94097,0.84059,0.85989,0.86448,0.64851,0.82612,0.82754,0.86065,0.58959,0.63491,1.32352,0.46747,0.95554,0.00086225,0.00086225,0.00086225
96,1372.9,0.51493,0.84171,0.38599,0.94773,0.83179,0.85942,0.87726,0.65359,0.79774,0.80661,0.84194,0.58405,0.68007,1.45607,0.46405,0.98102,0.000858125,0.000858125,0.000858125
97,1387.1,0.50652,0.83367,0.37636,0.94144,0.82646,0.8328,0.8277,0.63693,0.82644,0.84017,0.84338,0.58916,0.64296,1.44675,0.46635,0.97867,0.000854,0.000854,0.000854
98,1401.32,0.50366,0.85578,0.38329,0.93508,0.80574,0.84135,0.85361,0.65451,0.78396,0.85177,0.86616,0.58905,0.68284,1.36017,0.51306,1.01636,0.000849875,0.000849875,0.000849875
99,1415.52,0.49551,0.82571,0.37507,0.93183,0.83436,0.83831,0.85575,0.64576,0.80031,0.80632,0.84599,0.57416,0.71444,1.44862,0.5046,1.02316,0.00084575,0.00084575,0.00084575
100,1429.77,0.5058,0.82306,0.39305,0.9375,0.7993,0.86539,0.85465,0.64164,0.78522,0.85068,0.83977,0.58309,0.65953,1.5326,0.48861,0.99774,0.000841625,0.000841625,0.000841625
101,1443.98,0.4978,0.80938,0.3854,0.932,0.79528,0.86845,0.87109,0.65843,0.8237,0.8154,0.87151,0.60741,0.61018,1.3485,0.43728,0.96228,0.0008375,0.0008375,0.0008375
102,1458.45,0.49567,0.81055,0.3758,0.94197,0.79726,0.85159,0.831,0.63509,0.79809,0.84971,0.83524,0.57629,0.68095,1.43044,0.53138,0.98746,0.000833375,0.000833375,0.000833375
103,1472.65,0.4943,0.79485,0.3885,0.93539,0.78206,0.83445,0.83557,0.62869,0.78074,0.82854,0.84634,0.56639,0.68645,1.74253,0.51969,1.00117,0.00082925,0.00082925,0.00082925
104,1486.85,0.51121,0.87302,0.39637,0.95515,0.78492,0.83502,0.83408,0.63002,0.80971,0.78307,0.82398,0.56594,0.69396,1.52873,0.5545,0.99764,0.000825125,0.000825125,0.000825125
105,1501.11,0.48358,0.79955,0.383,0.92885,0.77701,0.84045,0.82132,0.64146,0.78117,0.84416,0.83973,0.5769,0.63822,1.5316,0.46413,0.98943,0.000821,0.000821,0.000821
106,1515.24,0.4827,0.797,0.36503,0.92638,0.81942,0.81392,0.82869,0.64102,0.8341,0.80021,0.85011,0.57151,0.65384,1.38379,0.47668,0.9903,0.000816875,0.000816875,0.000816875
107,1529.32,0.49018,0.80278,0.37376,0.9321,0.80642,0.85995,0.86097,0.65649,0.86514,0.81442,0.86074,0.58133,0.65434,1.36981,0.44317,0.98353,0.00081275,0.00081275,0.00081275
108,1543.45,0.49834,0.81604,0.37389,0.93784,0.85976,0.8085,0.86425,0.64433,0.80607,0.83228,0.85667,0.58602,0.6427,1.4432,0.44377,0.98345,0.000808625,0.000808625,0.000808625
